Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),1,110,0,American Graffiti,SAF,C Soumillon,Sean Tarry,63,2,9.6,N,N,N,N,-,146,6f 102y,-,-,-,-,-,-,-,-,-,-,17,5.6,7,-,-,N,-,9999,0,0,0,1,16,2,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),2,512,2,Betula,SAF,Diego De Gouveia,Stuart Pettigrew,20,2,9.6,N,N,N,N,-,262,6f 102y,-,-,-,-,-,-,-,-,-,-,17,7,10,-,-,N,-,9999,0,0,0,2,5,4,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),3,3212,2,Dolcezza,SAF,R Fourie,Robyn Klaasen,21,2,9.6,N,N,Y,N,-,316,6f 102y,-,-,-,-,-,-,-,-,-,-,17,7.2,9,-,-,N,-,9999,0,0,0,3,2,5,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),4,120,0,Oriental Bouquet,SAF,S Veale,Duncan Howells,21,2,9.6,Y,N,Y,N,-,216,6f 102y,-,-,-,-,-,-,-,-,-,-,17,17,200,-,-,N,-,9999,0,0,0,4,9,6,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),5,415,5,Moving In,SAF,G Lerena,Johan J Vuuren,28,2,9.6,N,N,Y,N,-,246,6f 102y,-,-,-,-,-,-,-,-,-,-,17,17,36,-,-,N,-,9999,0,0,0,5,6,7,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),6,3120,0,Hot Pearl,SAF,Rachel Venniker,Wendy Whitehead,28,2,9.6,N,N,N,N,-,151,6f 102y,-,-,-,-,-,-,-,-,-,-,17,19.5,350,-,-,N,-,9999,0,0,0,6,15,11,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),7,15,5,Far Horizon,SAF,M Yeni,Alyson Wright,12,2,9.6,Y,Y,N,N,-,223,6f 102y,-,-,-,-,-,-,-,-,-,-,17,0,0,-,-,N,-,9999,0,0,0,7,8,15,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),8,22354,4,Women Of Fame,SAF,Calvin Habib,Sean Tarry,55,2,9.6,Y,N,N,N,-,132,6f 102y,-,-,-,-,-,-,-,-,-,-,17,18.5,380,-,-,N,-,9999,0,0,0,8,17,10,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),9,132,2,Idita,SAF,Luyolo Mxothwa,Gavin Smith,29,2,9.6,N,N,N,N,-,196,6f 102y,-,-,-,-,-,-,-,-,-,-,17,17,180,-,-,N,-,9999,0,0,0,9,12,8,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),10,34-11,1,The Charleston,SAF,A Domeyer,Candice Bass-Robinson,126,2,9.6,N,N,Y,N,-,300,6f 102y,-,-,-,-,-,-,-,-,-,-,17,6.6,10,-,-,N,-,9999,0,0,0,10,3,3,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),11,711,1,Secret Identity,SAF,Grant Van Niekerk,Harold/mic Crawford/rix,21,2,9.6,N,Y,N,Y,-,335,6f 102y,-,-,-,-,-,-,-,-,-,-,17,3.55,3.6,-,-,N,-,9999,0,0,0,11,1,1,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),12,346215,5,Divine Moonlight,SAF,K De Melo,Weichong Marwing,21,2,9.6,N,N,N,N,-,203,6f 102y,-,-,-,-,-,-,-,-,-,-,17,17.5,310,-,-,Y,-,9999,0,0,0,12,11,9,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),13,3261,1,Bomber Girl,SAF,S Khumalo,Marthinus Nicolas Prinsloo,40,2,9.6,N,N,N,N,-,173,6f 102y,-,-,-,-,-,-,-,-,-,-,17,22,420,-,-,N,-,9999,0,0,0,13,13,12,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),14,41,1,Dual Agent,SAF,C Orffer,Glen Kotzen,26,2,9.6,N,N,N,N,-,206,6f 102y,-,-,-,-,-,-,-,-,-,-,17,25,550,-,-,N,-,9999,0,0,0,14,10,13,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),-,422321,1,African Beat,SAF,Reserve 1,Michael Miller,12,2,9.6,N,N,N,N,-,268,6f 102y,-,-,-,-,-,-,-,-,-,-,17,28,440,-,-,Y,-,9999,0,0,0,15,4,14,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),-,1,1,Mamas Baby,SAF,Reserve 2,jnr Gareth,24,2,9.6,N,N,N,N,-,156,6f 102y,-,-,-,-,-,-,-,-,-,-,17,0,0,-,-,N,-,9999,0,0,0,16,14,16,N,Flat,Turf,-
South Africa,Greyville,20230701,10:45,Bloodstock SA Sales Cup (2 Year-Old Fillies),-,696415,5,Lady Lacewing,SAF,Reserve 3,Michael Miller,62,2,9.6,N,N,Y,N,-,236,6f 102y,-,-,-,-,-,-,-,-,-,-,17,0,0,-,-,Y,-,9999,0,0,0,17,7,17,N,Flat,Turf,-
South Africa,Greyville,20230701,11:25,Bloodstock SA Sales Cup (C & G) (2 Year-Olds),1,11,1,Main Defender,SAF,Craig Zackey,Tony Peter,20,2,9.6,N,N,N,N,106,267,6f 102y,-,-,-,-,-,-,-,-,-,-,16,4.2,980,-,-,N,-,9999,0,0,0,1,3,2,N,Flat,Turf,-
South Africa,Greyville,20230701,11:25,Bloodstock SA Sales Cup (C & G) (2 Year-Olds),2,47,7,Navajo Nation,SAF,Diego De Gouveia,Robbie Hill,21,2,9.6,N,N,N,N,-,117,6f 102y,-,-,-,-,-,-,-,-,-,-,16,18,980,-,-,N,-,9999,0,0,0,2,16,11,N,Flat,Turf,-
