Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),3,7,7,Anam Cara,SAF,Denis Schwarz,Sharon Kotzen,24,2,9.6,N,N,N,N,-,56,6f 102y,-,-,-,-,-,-,-,-,-,-,9,14.5,560,-,-,N,-,9999,0,0,0,1,8,6,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),4,7663,3,Butterfly Queen,SAF,Jason Gates,Jacques Strydom,7,2,9.6,N,N,N,N,-,136,6f 102y,-,-,-,-,-,-,-,-,-,-,9,6.8,290,-,-,N,-,9999,0,0,0,2,4,4,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),5,48-000,0,Captivate,SAF,Kendall Minnie,Alan Greeff,36,2,9.6,N,N,N,N,-,46,6f 102y,-,-,-,-,-,-,-,-,-,-,9,14.5,560,-,-,N,-,9999,0,0,0,3,9,7,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),8,4,4,Elusive Mata,SAF,Luyolo Mxothwa,Sharon Kotzen,45,2,9.6,N,N,N,N,-,96,6f 102y,-,-,-,-,-,-,-,-,-,-,9,5.1,5.2,-,-,N,-,9999,0,0,0,4,7,2,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),9,565437,7,Exclusively Yours,SAF,Marco V'Rensburg,Cliffie Miller,7,2,9.6,N,N,N,N,-,109,6f 102y,-,-,-,-,-,-,-,-,-,-,9,17,560,-,-,Y,-,9999,0,0,0,5,6,9,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),1,0-022,2,Golden Pacific,SAF,S Khumalo,Gavin Smith,17,2,9.6,N,N,N,N,-,257,6f 102y,-,-,-,-,-,-,-,-,-,-,9,2.14,2.68,-,-,N,-,9999,0,0,0,6,1,1,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),7,553356,6,Red Love,SAF,L Nhlapo,Kelly Mitchley,17,2,9.6,Y,N,N,N,-,130,6f 102y,-,-,-,-,-,-,-,-,-,-,9,12,16,-,-,N,-,9999,0,0,0,7,5,5,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),6,54,4,Si Gioca,SAF,R Fourie,Alan Greeff,7,2,9.6,N,N,N,N,-,140,6f 102y,-,-,-,-,-,-,-,-,-,-,9,5.1,290,-,-,N,-,9999,0,0,0,8,3,3,N,Flat,Polytrack,-
South Africa,Fairview,20230703,11:45,Welcome To Nelson Mandela Bay Maiden Juvenile Plate (Fillies),2,78063,3,Symbol Of Love,SAF,C Maujean,Emmanuel Kaknis,10,2,9.6,N,N,N,N,-,155,6f 102y,-,-,-,-,-,-,-,-,-,-,9,14.5,560,-,-,Y,-,9999,0,0,0,9,2,8,N,Flat,Polytrack,-
South Africa,Fairview,20230703,12:20,4racing.tv Maiden Plate (F & M),7,0-62550,0,Anna Karenina,SAF,Luyolo Mxothwa,Gavin Smith,52,3,9.6,N,N,N,N,-,82,6f 102y,-,-,-,-,-,-,-,-,-,-,10,6.2,290,-,-,N,-,9999,0,0,0,1,8,3,N,Flat,Polytrack,-
