Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),1,-,-,Candy Town,SAF,C Orffer,Willem Nel,-,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,4.8,990,-,-,N,-,9999,0,0,0,1,5,2,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),2,-,-,Sansa Stark,SAF,Luyolo Mxothwa,Piet Botha,-,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,16,990,-,-,N,-,9999,0,0,0,2,6,13,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),3,9544,4,Triptothewoods,SAF,Grant Van Niekerk,Justin Snaith,13,2,9.6,Y,N,N,N,-,173,4f 214y,-,-,-,-,-,-,-,-,-,-,13,5.5,990,-,-,N,-,9999,0,0,0,3,1,3,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),4,2-905,5,De Janeiro,SAF,Keanen Steyn,Piet Botha,38,2,9.6,N,N,N,N,-,82,4f 214y,-,-,-,-,-,-,-,-,-,-,13,8,990,-,-,N,-,9999,0,0,0,4,3,8,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),5,7,7,Love Shack,SAF,Morne Winnaar,Candice Bass-Robinson,38,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,12,990,-,-,N,-,9999,0,0,0,5,7,10,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),6,748,8,Ubukhwebezana,SAF,Jabu Jacobs,Piet Botha,49,2,9.6,N,N,N,N,-,96,4f 214y,-,-,-,-,-,-,-,-,-,-,13,14.5,980,-,-,N,-,9999,0,0,0,6,2,12,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),7,-,-,Princess Izzy,SAF,J V'd Merwe,Justin Snaith,-,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,11,990,-,-,N,-,9999,0,0,0,7,8,9,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),8,78-069,9,String Of Lights,SAF,Oswald Noach,Piet Steyn,63,2,9.6,N,N,N,N,-,73,4f 214y,-,-,-,-,-,-,-,-,-,-,13,6.4,980,-,-,N,-,9999,0,0,0,8,4,5,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),9,-,-,Trip To Maputo,SAF,G Wright,Candice Bass-Robinson,-,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,13.5,990,-,-,N,-,9999,0,0,0,9,9,11,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),10,9-,-,Winter Rainfall,SAF,A Domeyer,Candice Bass-Robinson,195,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,7.4,990,-,-,N,-,9999,0,0,0,10,10,7,N,Flat,Turf,-
South Africa,Kenilworth,20230705,11:00,Hollywoodbets Kenilworth Welcomes You Restricted Maiden Juvenile Plate (2 Year Old Fillies),11,-,-,Nordic Quest,SAF,Anthony Andrews,Candice Bass-Robinson,-,2,9.6,N,N,N,N,-,46,4f 214y,-,-,-,-,-,-,-,-,-,-,13,6.4,990,-,-,N,-,9999,0,0,0,11,11,6,N,Flat,Turf,-
