Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),6,90,0,Cat's Meow,SAF,Denis Schwarz,Tony Peter,47,2,9.6,N,N,N,N,-,46,6f 211y,-,-,-,-,-,-,-,-,-,-,10,0,0,L,-,N,-,9999,0,0,0,1,8,10,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),2,026,6,Fairy Circle,SAF,Craig Zackey,Stephen Moffatt,14,2,9.6,N,N,N,N,-,195,6f 211y,-,-,-,-,-,-,-,-,-,-,10,13,14,P,-,N,-,9999,0,0,0,2,2,6,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),9,074478,8,Leonessa,SAF,S Khumalo,Kobus Roux,25,2,9.6,N,N,N,N,-,56,6f 211y,-,-,-,-,-,-,-,-,-,-,10,8.4,8.8,L,-,N,-,9999,0,0,0,3,6,4,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),1,9032,2,Mocha Macaroon,SAF,Marco V'Rensburg,Chris Jonker,14,2,9.6,N,N,N,N,-,223,6f 211y,-,-,-,-,-,-,-,-,-,-,10,3.6,3.7,L,-,N,-,9999,0,0,0,4,1,1,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),10,09,9,My Best Friend,SAF,Philasande Mxoli,Stuart Pettigrew,23,2,9.6,N,N,N,N,-,56,6f 211y,-,-,-,-,-,-,-,-,-,-,10,80,90,L,-,N,-,9999,0,0,0,5,7,9,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),7,7046,6,Pass The Baton,SAF,G Lerena,Stephen Moffatt,30,2,9.6,N,N,N,N,-,123,6f 211y,-,-,-,-,-,-,-,-,-,-,10,10,11,P,-,N,-,9999,0,0,0,6,5,5,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),8,926,6,Play With Fire,SAF,Calvin Habib,Fanie Bronkhorst,18,2,9.6,N,N,N,N,-,189,6f 211y,-,-,-,-,-,-,-,-,-,-,10,6,6.4,L,-,N,-,9999,0,0,0,7,3,2,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),4,-,-,Silver Sanctuary,SAF,J V'd Merwe,M F De Kock,-,2,9.6,N,N,N,N,-,46,6f 211y,-,-,-,-,-,-,-,-,-,-,10,6,6.2,W,-,N,-,9999,0,0,0,8,9,3,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),3,56834,4,Villa Semaya,SAF,R Danielson,Stephen Moffatt,9,2,9.6,N,N,N,N,-,178,6f 211y,-,-,-,-,-,-,-,-,-,-,10,24,26,L,-,Y,-,9999,0,0,0,9,4,8,N,Flat,Turf,-
South Africa,Vaal,20230706,11:25,4Racing Welcomes You Maiden Juvenile Plate (Fillies),5,7,7,Village Green,SAF,Diego De Gouveia,Stuart Pettigrew,30,2,9.6,N,N,N,N,-,46,6f 211y,-,-,-,-,-,-,-,-,-,-,10,16,16.5,L,-,N,-,9999,0,0,0,10,10,7,N,Flat,Turf,-
South Africa,Vaal,20230706,12:00,Tab Telebet 0861 000 822 Maiden Juvenile Plate,3,664,4,Anamericaninvenice,SAF,Craig Zackey,Alson Ndzilana,60,2,9.6,N,N,N,N,-,123,6f 211y,-,-,-,-,-,-,-,-,-,-,11,20,21,L,-,N,-,9999,0,0,0,1,2,6,N,Flat,Turf,-
South Africa,Vaal,20230706,12:00,Tab Telebet 0861 000 822 Maiden Juvenile Plate,9,45438,8,Brotherhoodofmagic,SAF,P Strydom,Barend / / Vosloo,63,2,9.6,N,N,N,N,-,101,6f 211y,-,-,-,-,-,-,-,-,-,-,11,8.8,9.2,L,-,Y,-,9999,0,0,0,2,6,3,N,Flat,Turf,-
South Africa,Vaal,20230706,12:00,Tab Telebet 0861 000 822 Maiden Juvenile Plate,5,57,7,Charge Ahead,SAF,Wesley Marwing,Paul Matchett,30,2,9.6,N,N,N,N,-,82,6f 211y,-,-,-,-,-,-,-,-,-,-,11,80,120,L,-,N,-,9999,0,0,0,3,8,8,N,Flat,Turf,-
South Africa,Vaal,20230706,12:00,Tab Telebet 0861 000 822 Maiden Juvenile Plate,11,4726,6,Emporium,SAF,Philasande Mxoli,Paul Matchett,26,2,9.6,N,N,N,N,-,178,6f 211y,-,-,-,-,-,-,-,-,-,-,11,2.42,2.46,W,-,N,-,9999,0,0,0,4,1,1,N,Flat,Turf,-
