Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),6,8332-63,3,Green Bubbles,SAF,Jeffery Syster,Stuart Pettigrew,10,3,9.6,N,N,N,N,-,155,6f 211y,-,-,-,-,-,-,-,-,-,-,7,3,4.5,-,-,N,-,9999,0,0,0,1,2,1,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),3,344422,2,Primrose Path,SAF,Calvin Habib,Fanie Bronkhorst,17,3,9.6,N,N,N,N,-,257,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,Y,-,9999,0,0,0,2,1,2,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),4,385387,7,United's Ransom,SAF,Denis Schwarz,Tony Peter,33,3,9.6,N,N,N,N,-,46,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,N,-,9999,0,0,0,3,6,3,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),1,099-306,6,Ideal Heart,SAF,Malesela Katjedi,Weiho Marwing,45,3,9.6,N,N,N,N,-,73,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,N,-,9999,0,0,0,4,4,4,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),5,874,4,Butternutenrooiwyn,SAF,C Maujean,Robyn Klaasen,10,2,8.11,N,N,N,N,-,91,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,N,-,9999,0,0,0,5,3,5,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),7,00,0,Love Song,SAF,Craig Zackey,M F De Kock,87,2,8.11,N,N,N,N,-,14,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,N,-,9999,0,0,0,6,7,6,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:20,4Racing Welcomes You Maiden Plate (F & M),2,37,7,Shampimpi,SAF,G Lerena,Candice Dawson,59,2,8.11,N,N,N,N,-,69,6f 211y,-,-,-,-,-,-,-,-,-,-,7,0,0,-,-,N,-,9999,0,0,0,7,5,7,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:50,4Racing Thanks & Appreciates Lab Racing Maiden Plate,13,5-32205,5,Gimme A Diamond,SAF,Kaidan Brewer,Joey Soma,31,3,9.6,N,N,N,N,-,82,6f 211y,-,-,-,-,-,-,-,-,-,-,13,0,0,-,-,N,-,9999,0,0,0,1,5,2,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:50,4Racing Thanks & Appreciates Lab Racing Maiden Plate,6,3433,3,Viva De Janeiro,SAF,G Lerena,Johan J Vuuren,17,3,9.6,N,N,N,N,-,177,6f 211y,-,-,-,-,-,-,-,-,-,-,13,3.05,5.4,-,-,N,-,9999,0,0,0,2,2,1,N,Flat,Turf,-
South Africa,Turffontein,20230702,11:50,4Racing Thanks & Appreciates Lab Racing Maiden Plate,4,2-03442,2,Archimides,SAF,Denis Schwarz,Phillip Labuschagne,24,3,9.6,N,N,N,N,-,201,6f 211y,-,-,-,-,-,-,-,-,-,-,13,0,0,-,-,Y,-,9999,0,0,0,3,1,3,N,Flat,Turf,-
