Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,5,800,0,Battenberg,SAF,Kaidan Brewer,Gavin Smith,39,2,9.6,N,N,N,N,-,46,7f 210y,-,-,-,-,-,-,-,-,-,-,14,8.4,9,-,-,N,-,9999,0,0,0,1,9,4,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,10,98,8,Fearless Badger,SAF,Mathew Thackeray,Gavin Smith,35,2,9.6,N,N,N,N,-,46,7f 210y,-,-,-,-,-,-,-,-,-,-,14,28,60,-,-,N,-,9999,0,0,0,2,10,7,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,6,597,7,Follow The Band,SAF,Gabriell Pieterse,Zietsman Oosthuizen,14,2,9.6,N,N,N,N,-,73,7f 210y,-,-,-,-,-,-,-,-,-,-,14,28,55,-,-,N,-,9999,0,0,0,3,4,8,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,13,24,4,Harajuku,SAF,J V'd Merwe,Justin Snaith,41,2,9.6,N,N,N,N,-,191,7f 210y,-,-,-,-,-,-,-,-,-,-,14,0,0,-,-,N,-,9999,0,0,0,4,1,10,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,7,0-6,6,Lord Milori,SAF,M Yeni,Kelly Mitchley,14,2,9.6,N,N,N,N,-,100,7f 210y,-,-,-,-,-,-,-,-,-,-,14,4.7,5,-,-,N,-,9999,0,0,0,5,3,2,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,12,00,0,Mantis King,SAF,Keanen Steyn,Jacques Strydom,35,2,9.6,N,N,N,N,-,46,7f 210y,-,-,-,-,-,-,-,-,-,-,14,0,0,-,-,N,-,9999,0,0,0,6,11,11,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,9,9,9,Piper Of Hamelin,SAF,Denis Schwarz,Sharon Kotzen,35,2,9.6,N,N,N,N,-,46,7f 210y,-,-,-,-,-,-,-,-,-,-,14,19,42,-,-,N,-,9999,0,0,0,7,12,6,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,3,05073,3,Regazzo Grande,SAF,R Fourie,Alan Greeff,7,2,9.6,N,N,N,N,-,109,7f 210y,-,-,-,-,-,-,-,-,-,-,14,2.42,2.56,-,-,Y,-,9999,0,0,0,8,2,1,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,8,753,3,Renowned,SAF,Non Runner,Justin Snaith,35,2,9.6,N,N,N,N,-,137,7f 210y,-,-,-,-,-,-,-,-,-,-,14,0,0,-,-,N,-,9999,0,0,0,9,,,,,,
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,1,906,6,Royal Statesman,SAF,Francois Herholdt,Lunga Gila,35,2,9.6,N,N,N,N,-,73,7f 210y,-,-,-,-,-,-,-,-,-,-,14,0,0,-,-,N,-,9999,0,0,0,10,5,12,N,Flat,Polytrack,-
South Africa,Fairview,20230630,11:35,Welcome To Nelson Mandela Bay Maiden Juvenile Plate,2,7,7,Slainte Mhath,SAF,Luyolo Mxothwa,Sharon Kotzen,35,2,9.6,N,N,N,N,-,46,7f 210y,-,-,-,-,-,-,-,-,-,-,14,7.4,8,-,-,N,-,9999,0,0,0,11,13,3,N,Flat,Polytrack,-
