Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,5,4835,5,Ampersand,SAF,Philasande Mxoli,Paul Matchett,49,2,9.6,N,N,N,N,-,137,5f 212y,-,-,-,-,-,-,-,-,-,-,7,5.1,5.2,W,-,N,-,9999.0,0,0,0,1,1,2,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,4,-,-,Bregardt,SAF,Calvin Habib,Fanie Bronkhorst,-,2,9.6,N,N,N,N,-,46,5f 212y,-,-,-,-,-,-,-,-,-,-,7,46.0,48.0,L,-,N,-,9999.0,0,0,0,2,6,5,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,2,47,7,Circle Of Grace,SAF,S Khumalo,Corne Spies,152,2,9.6,N,N,N,N,-,96,5f 212y,-,-,-,-,-,-,-,-,-,-,7,5.4,5.5,L,-,N,-,9999.0,0,0,0,3,3,3,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,7,50,0,Daring Act,SAF,Kabelo Matsunyane,Robyn Klaasen,16,2,9.6,N,N,N,N,-,103,5f 212y,-,-,-,-,-,-,-,-,-,-,7,100.0,130.0,L,-,N,-,9999.0,0,0,0,4,2,6,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,6,-,-,Green Garnet,SAF,A Mgudlwa,M F De Kock,-,2,9.6,N,N,N,N,-,46,5f 212y,-,-,-,-,-,-,-,-,-,-,7,8.8,9.2,P,-,N,-,9999.0,0,0,0,5,7,4,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,3,800,0,Prince Of Kildare,SAF,Jason Gates,Billy Ruiters,23,2,9.6,N,N,N,N,-,56,5f 212y,-,-,-,-,-,-,-,-,-,-,7,110.0,160.0,L,-,N,-,9999.0,0,0,0,6,5,7,N,Flat,Turf,-
South Africa,Turffontein,20230704,11:40,4Racing Welcomes You Maiden Juvenile Plate,1,4,4,Thing Called Love,SAF,G Lerena,Johan J Vuuren,66,2,9.1,N,N,N,N,-,96,5f 212y,-,-,-,-,-,-,-,-,-,-,7,2.08,2.1,L,-,N,-,9999.0,0,0,0,7,4,1,N,Flat,Turf,-
South Africa,Turffontein,20230704,12:15,www.soccer6.co.za Maiden Juvenile Plate (Fillies),7,-,-,Arabian Red,SAF,Malesela Katjedi,M F De Kock,-,2,9.6,N,N,N,N,-,46,5f 212y,-,-,-,-,-,-,-,-,-,-,8,26.0,28.0,L,-,N,-,9999.0,0,0,0,1,6,5,N,Flat,Turf,-
South Africa,Turffontein,20230704,12:15,www.soccer6.co.za Maiden Juvenile Plate (Fillies),2,352,2,Duenna,SAF,G Lerena,Stuart Pettigrew,28,2,9.6,N,N,N,N,-,187,5f 212y,-,-,-,-,-,-,-,-,-,-,8,2.12,2.14,W,-,N,-,9999.0,0,0,0,2,1,1,N,Flat,Turf,-
South Africa,Turffontein,20230704,12:15,www.soccer6.co.za Maiden Juvenile Plate (Fillies),6,-,-,Elemental Force,SAF,Craig Zackey,Paul Matchett,-,2,9.6,N,N,N,N,-,46,5f 212y,-,-,-,-,-,-,-,-,-,-,8,34.0,38.0,L,-,N,-,9999.0,0,0,0,3,7,6,N,Flat,Turf,-
